;eartag;lp;plot;date;year_time;time;trap;station;species;PIT_tag;Sex;Body_mass;reproductive_state;open;recapture;Openfield_number;latency;Cross;zones.old;zones.new;manipulator;struggle_no;bag_struggle;watched;Struggle2..1.5.;X;yearText;BLUP_B
1202;422;1172;wally;24.lip.20;2020;AM;G2;G2-wally;APF;NA;F;23,5;NP;NA;R;2;3;22;NA;NA;MZ;2;56;MZ;NA;;2020;0,163493363
1203;426;542;wally;05.lip.20;2020;AM;I3;I3-wally;APF;9,68E+14;F;19;NP;NO;R;1;0;23;NA;NA;JW;1;0;JW;NA;;2020;0,21928936
1204;427;480;wally;04.lip.20;2020;AM;I7;I7-wally;APF;9,68E+14;F;21;NP;NO;NEW;1;0;18;NA;NA;JW;1;0;JW;NA;;2020;-0,006965839
1205;427;1043;wally;22.lip.20;2020;AM;I9;I9-wally;APF;NA;F;23;NP;NA;R;2;0;10;NA;NA;AW;2;43;AW;NA;;2020;-0,006965839
1206;429;581;debowa;06.lip.20;2020;AM;F4;F4-debowa;APF;NA;M;44;S;NA;R;1;0;33;NA;NA;JW;1;30;JW;NA;;2020;0,344652458
1207;432;1169;wally;24.lip.20;2020;AM;I7;I7-wally;APF;NA;F;34;NP;NA;R;1;3;27;NA;NA;MZ;1;0;MZ;NA;;2020;0,279801034
1208;432;1539;wally;08.sie.20;2020;AM;H9;H9-wally;APF;NA;F;34;NP;NA;R;2;0;21;NA;NA;JW;2;8;JW;NA;;2020;0,279801034
1209;432b;491;wally;04.lip.20;2020;AM;B2;B2-wally;APF;9,68E+14;M;50;S;NA;NEW;1;0;33;NA;NA;AW;1;56;AW;NA;;2020;0,324655215
1210;434;614;natura;07.lip.20;2020;AM;A6;A6-natura;APF;9,68E+14;F;17,5;NP;NO;NEW;1;0;0;NA;NA;JW;1;47;JW;NA;;2020;0,370933715
1211;434;665;natura;09.lip.20;2020;AM;A6;A6-natura;APF;NA;F;16,5;NP;NA;R;2;0;22;NA;NA;RZ;2;41;RZ;NA;;2020;0,370933715
1212;434;714;natura;10.lip.20;2020;AM;B6;B6-natura;APF;NA;F;18;NP;NA;R;3;0;21;NA;NA;JW;3;43;JW;NA;;2020;0,370933715
1213;434;1277;natura;26.lip.20;2020;AM;A6;A6-natura;APF;NA;F;19;NP;NA;R;4;15;22;NA;NA;JW;4;21;JW;NA;;2020;0,370933715
1214;435;462;debowa;03.lip.20;2020;AM;E6;E6-debowa;APF;9,68E+14;F;38;L;NO;R;1;0;17;NA;NA;JW;1;53;JW;NA;;2020;-0,061444501
1215;435;573;debowa;06.lip.20;2020;AM;H5;H5-debowa;APF;NA;F;39;L;NO;R;2;0;22;NA;NA;JW;2;55;JW;NA;;2020;-0,061444501
1216;435;1503;debowa;08.sie.20;2020;AM;F5;F5-debowa;APF;NA;F;31;L;YES;R;3;0;8;NA;NA;JW;3;0;JW;NA;;2020;-0,061444501
1217;435;1755;debowa;11.sie.20;2020;AM;H5;H5-debowa;APF;NA;F;31,5;NP;NA;R;4;0;9;NA;NA;JW;5;22;JW;NA;;2020;-0,061444501
1218;440;541;wally;05.lip.20;2020;AM;J5;J5-wally;APF;9,68E+14;F;20;NP;NO;NEW;1;0;17;NA;NA;JW;1;0;JW;NA;;2020;0,079603296
1219;442;470;wally;04.lip.20;2020;AM;G2;G2-wally;APF;9,68E+14;F;21;NP;NO;NEW;1;0;25;NA;NA;JW;1;47;JW;NA;;2020;0,335209045
1220;442;564;wally;06.lip.20;2020;AM;G2;G2-wally;APF;NA;F;20;NP;NO;R;2;0;24;NA;NA;JW;2;55;JW;NA;;2020;0,335209045
1221;442;1589;wally;09.sie.20;2020;AM;H2;H2-wally;APF;NA;F;25;NP;NA;R;3;0;14;NA;NA;JW;3;41;JW;NA;;2020;0,335209045
1222;442;2233;wally;26.sie.20;2020;AM;F2;F2-wally;APF;NA;F;26,5;NP;YES;R;4;0;23;NA;NA;AW;4;54;AW;NA;;2020;0,335209045
1223;446;1601;wally;09.sie.20;2020;AM;I2;I2-wally;APF;NA;M;33;NS;NA;R;1;8;7;NA;NA;JW;1;0;JW;NA;;2020;-0,4664503
1224;446;1777;wally;11.sie.20;2020;AM;J4;J4-wally;APF;NA;M;32;NS;NA;R;2;0;3;NA;NA;JW;2;0;JW;NA;;2020;-0,4664503
1225;449;473;wally;04.lip.20;2020;AM;H8;H8-wally;APF;9,68E+14;M;19,5;NS;NA;NEW;1;0;21;NA;NA;JW;1;31;JW;NA;;2020;0,178175973
1226;450;481;wally;04.lip.20;2020;AM;J7;J7-wally;APF;9,68E+14;M;16,5;NS;NA;NEW;1;120;0;NA;NA;JW;1;0;JW;NA;;2020;-0,012667388
1227;461;666;natura;09.lip.20;2020;AM;B8;B8-natura;APF;NA;F;17,5;NP;NA;R;1;18;11;NA;NA;RZ;1;60;RZ;NA;;2020;-0,039901161
1228;461;1267;natura;25.lip.20;2020;AM;C9;C9-natura;APF;NA;F;20;NP;NA;R;2;56;14;JW.;NA;JW;2;49;JW;NA;;2020;-0,039901161
1229;463;1876;natura;13.sie.20;2020;AM;E8;E8-natura;APF;NA;M;26;NS;NA;R;1;0;26;NA;NA;JW;1;45;JW;NA;;2020;0,56852035
1230;463;1967;natura;15.sie.20;2020;AM;D9;D9-natura;APF;NA;M;25;NS;NA;R;2;0;42;NA;NA;JW;2;55;JW;NA;;2020;0,56852035
1231;465;684;natura;09.lip.20;2020;AM;J7;J7-natura;APF;NA;M;22;NS;NA;R;1;0;24;NA;NA;JW;1;57;JW;NA;;2020;0,671952607
1232;465;1312;natura;26.lip.20;2020;AM;F7;F7-natura;APF;NA;M;22;S;NA;R;2;0;39;NA;NA;MZ;2;47;MZ;NA;;2020;0,671952607
1233;465;1362;natura;28.lip.20;2020;AM;H10;H10-natura;APF;NA;M;22,5;S;NA;R;3;0;37;NA;NA;AW;4;46;AW;NA;;2020;0,671952607
1234;465;1799;natura;12.sie.20;2020;AM;E10;E10-natura;APF;NA;M;25;NP;NA;R;4;0;27;NA;NA;JW;5;24;JW;NA;;2020;0,671952607
1235;468;1351;natura;27.lip.20;2020;AM;C9;C9-natura;APF;NA;F;19;NA;NA;R;1;0;12;NA;NA;JW;1;0;JW;NA;;2020;-0,048931473
1236;470;685;natura;09.lip.20;2020;AM;J6;J6-natura;APF;NA;M;21;S;NA;R;1;8;29;NA;NA;JW;1;0;JW;NA;;2020;0,340152264
1237;473;671;natura;09.lip.20;2020;AM;D5;D5-natura;APF;NA;F;11;JUV;NA;R;1;14;13;NA;NA;RZ;1;55;RZ;NA;;2020;0,002234154
1238;475;613;natura;07.lip.20;2020;AM;A3;A3-natura;APF;NA;F;12,5;JUV;NO;NEW;1;0;0;NA;NA;JW;1;0;JW;NA;;2020;-1,005911328
1239;475;663;natura;09.lip.20;2020;AM;A3;A3-natura;APF;NA;F;12,5;JUV;NA;R;2;35;3;NA;NA;RZ;2;45;RZ;NA;;2020;-1,005911328
1240;475;1263;natura;25.lip.20;2020;AM;C3;C3-natura;APF;NA;F;17;NP;NA;R;3;30;0;JW.;NA;JW;3;30;JW;NA;;2020;-1,005911328
1241;475;1358;natura;27.lip.20;2020;AM;C3;C3-natura;APF;NA;F;17;NA;NA;R;4;113;1;NA;NA;JW;4;4;JW;NA;;2020;-1,005911328
1242;475;1791;natura;12.sie.20;2020;AM;A3;A3-natura;APF;NA;F;20;NP;NA;R;5;120;0;NA;NA;JW;5;0;JW;NA;;2020;-1,005911328
1243;475;1960;natura;15.sie.20;2020;AM;A4;A4-natura;APF;NA;F;19;NP;NA;R;6;0;0;NA;NA;JW;6;0;JW;NA;;2020;-1,005911328
1244;476;584;wally;06.lip.20;2020;AM;B1;B1-wally;APF;9,68E+14;M;41;S;NA;NEW;1;12;20;NA;NA;AW;1;15;AW;NA;;2020;0,090472242
1245;478;610;karpaty;07.lip.20;2020;AM;B5;B5-karpaty;APF;9,68E+14;M;18;S;NA;NEW;1;0;6;NA;NA;JW;1;39;JW;NA;;2020;-0,100784488
1246;478;626;karpaty;08.lip.20;2020;AM;B5;B5-karpaty;APF;NA;M;18;S;NO;R;2;5;18;NA;NA;JW;2;24;JW;NA;;2020;-0,100784488
1247;479;599;karpaty;07.lip.20;2020;AM;G1;G1-karpaty;APF;9,68E+14;F;22,5;NP;NO;NEW;1;0;3;NA;NA;JW;1;29;JW;NA;;2020;-0,397747616
