;eartag;X;date;day;year_time;time;plot;Abundance;trap;station;biomark;seed_number;seed_weight;PIT_tag;Sex;Sex2;Body_mass;reproductive_state;seed_status;intact;missing;partiallyeaten;eaten;cached;dispersal_distance;distance_cm;distance;perc_eaten;hidden;test;latency;cross;manipulator;bag_struggle;watched;dispersal_tree;distance_tree_cm;distance_tree;tree_diameter;tree_species;Notes;Exploration_rate
1273;X0477;4134;21.08.2020;66;2020;01:07:10;trojkat;43;D8;D8-trojkat;6;4;5,602;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1274;X0477;4215;23.08.2020;68;2020;22:42:21;trojkat;43;D10;D10-trojkat;6;5;2,708;9,00E+14;M;MS;43;S;EAR;0;0;0;1;0;NA;643;6,43;100;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1275;X0477;4170;22.08.2020;67;2020;21:43:10;trojkat;43;B9;B9-trojkat;5;5;1,834;9,00E+14;M;MS;43;S;CAR;0;0;0;0;1;18,8;1880;18,8;0;leaves;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1276;X0477;4102;20.08.2020;65;2020;21:17:31;trojkat;43;J4;J4-trojkat;8;2;5,106;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1277;X0477;4212;23.08.2020;68;2020;20:59:02;trojkat;43;D10;D10-trojkat;6;2;2,644;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1278;X0477;4105;20.08.2020;65;2020;01:34:34;trojkat;43;J4;J4-trojkat;8;5;5,18;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1279;X0477;4143;21.08.2020;66;2020;00:28:19;trojkat;43;I6;I6-trojkat;8;3;2,947;9,00E+14;M;MS;43;S;CAR;0;0;1;0;1;7,5;750;7,5;70;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1280;X0477;4213;23.08.2020;68;2020;20:59:02;trojkat;43;D10;D10-trojkat;6;3;2,782;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1281;X0477;4144;21.08.2020;66;2020;00:33:59;trojkat;43;I6;I6-trojkat;8;4;2,859;9,00E+14;M;MS;43;S;CAR;0;0;0;0;1;5,49;549;5,49;0;leaves;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1282;X0477;4622;08.09.2020;84;2020;21:47:53;trojkat;19;I9;I9-trojkat;8;2;2,267;9,00E+14;M;MS;39;S;EAR;0;0;0;1;0;NA;2188;21,88;100;NA;YES;0;4;JW;13;JW;NA;43;0,43;41;FAGUS SYLVATICA;;-0,540856142
1283;X0477;4099;20.08.2020;65;2020;03:13:50;trojkat;43;G9;G9-trojkat;7;4;5,583;9,00E+14;M;MS;43;S;CAR;0;0;1;0;1;10,27;1027;10,27;65;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1284;X0477;4168;22.08.2020;67;2020;21:45:41;trojkat;43;B9;B9-trojkat;5;3;2,125;9,00E+14;M;MS;43;S;EAR;0;0;0;1;0;NA;962;9,62;100;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1285;X0477;4132;21.08.2020;66;2020;00:01:02;trojkat;43;D8;D8-trojkat;6;2;5,365;9,00E+14;M;MS;43;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1286;X0477;4097;20.08.2020;65;2020;00:45:46;trojkat;43;G9;G9-trojkat;7;2;5,519;9,00E+14;M;MS;43;S;CAR;0;0;0;0;1;3,99;399;3,99;0;litter;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1287;X0477;4704;10.09.2020;86;2020;21:46:07;trojkat;19;I5;I5-trojkat;8;4;4,161;9,00E+14;M;MS;39;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;4;JW;13;JW;NA;NA;NA;NA;NA;;-0,540856142
1288;X0499;3057;13.07.2020;27;2020;23:27:15;natura;57;H6;H6-natura;7;2;NA;9,68E+14;M;MS;40;S;EAR;0;0;0;1;0;NA;96;0,96;100;NA;YES;0;40;MZ;60;MZ;NA;NA;NA;NA;NA;;0,400423196
1289;X050;3447;29.07.2020;43;2020;23:34:26;natura;62;B4;B4-natura;5;2;NA;9,68E+14;M;MS;44;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;19;JW;51;JW;NA;NA;NA;NA;NA;;0,17207785
1290;X050;3446;29.07.2020;43;2020;22:15:08;natura;62;B4;B4-natura;5;1;NA;9,68E+14;M;MS;44;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;19;JW;51;JW;NA;NA;NA;NA;NA;;0,17207785
1291;X050;3974;17.08.2020;62;2020;21:11:42;natura;59;E3;E3-natura;6;4;3,19;9,68E+14;M;MS;47;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;19;JW;51;JW;NA;NA;NA;NA;NA;;0,17207785
1292;X050;4450;04.09.2020;80;2020;20:44:05;natura;59;A1;A1-natura;5;5;4,352;9,68E+14;M;M;46;NS;EAR;0;0;0;1;0;NA;1805;18,05;100;NA;YES;0;19;JW;51;JW;NA;655;6,55;182;FAGUS SYLVATICA;;0,17207785
1293;X050;4498;05.09.2020;81;2020;20:27:44;natura;59;H5;H5-natura;7;3;4,253;9,68E+14;M;M;46;NS;EAR;0;0;0;1;0;NA;1869;18,69;100;NA;YES;0;19;JW;51;JW;NA;319;3,19;182;FAGUS SYLVATICA;;0,17207785
